0.000	8.300	1a
8.300	12.120	1b
12.120	16.980	1c
16.980	21.960	1d
21.960	24.720	1e
24.720	28.960	2a
28.960	32.520	2b
32.520	36.840	3a
36.840	38.740	3b
38.740	41.260	3c
41.260	43.280	3d
43.280	45.920	3e
45.920	49.660	4a
49.660	53.600	4b
53.600	57.080	4c
57.080	60.460	5a
60.460	64.660	5b
64.660	70.920	5c
70.920	74.720	6a
74.720	77.000	6b
77.000	81.640	6c
81.640	84.960	7a
84.960	86.960	7b
86.960	91.300	7c
91.300	94.340	8a
94.340	97.060	8b
97.060	102.460	8c
102.460	104.660	9a
104.660	109.720	9b
109.720	115.720	9c
115.720	125.020	10a
125.020	130.720	10b
130.720	137.020	11a
137.020	139.580	11b
139.580	142.980	12a
142.980	144.460	12b
144.460	149.380	12c
149.380	152.400	12d
152.400	155.840	12e
155.840	159.940	13a
159.940	163.080	13b
163.080	166.440	13c
166.440	171.060	13d
171.060	173.420	14a
173.420	174.920	14b
174.920	177.260	14c
177.260	181.420	14d
181.420	183.520	15a
183.520	188.180	15b
188.180	192.060	16a
192.060	195.400	16b
195.400	199.640	16c
199.640	202.900	17a
202.900	205.560	17b
205.560	208.060	17c
208.060	211.060	18a
211.060	217.540	18b
217.540	220.240	19a
220.240	223.480	19b
223.480	227.360	19c
227.360	234.720	20a
234.720	237.920	20b
237.920	240.960	20c
240.960	244.200	21a
244.200	248.960	21b
248.960	252.900	21c
252.900	256.680	22a
256.680	258.520	22b
258.520	263.480	22c
