0.000	5.340	1a
5.340	8.160	1b
8.160	12.320	1c
12.320	15.660	1d
15.660	18.280	2a
18.280	22.000	2b
22.000	25.460	3a
25.460	27.700	3b
27.700	30.140	4a
30.140	31.520	4b
31.520	33.680	4c
33.680	36.300	4d
36.300	38.720	5
38.720	41.080	6a
41.080	44.460	6b
44.460	45.560	7a
45.560	47.660	7b
47.660	49.000	7c
49.000	52.080	7d
52.080	53.320	8a
53.320	55.080	8b
55.080	56.740	8c
56.740	59.280	8d
59.280	61.860	9a
61.860	64.940	9b
64.940	67.860	10a
67.860	71.940	10b
71.940	72.680	11a
72.680	75.780	11b
75.780	78.220	12a
78.220	80.680	12b
80.680	86.540	12c
86.540	90.120	13a
90.120	94.920	13b
94.920	96.360	14a
96.360	101.660	14b
101.660	105.900	14c
105.900	107.820	14d
107.820	110.900	15a
110.900	113.480	15b
113.480	116.160	16a
116.160	118.200	16b
118.200	121.040	16c
121.040	124.680	17a
124.680	128.840	17b
128.840	130.400	18a
130.400	134.300	18b
134.300	140.040	18c
