4.360	11.200	1a
11.200	14.880	1b
14.880	18.980	1c
18.980	26.440	2
26.440	30.620	3
30.620	34.580	4
34.580	41.100	5
41.100	49.000	6a
49.000	50.520	6b
50.520	53.080	7a
53.080	54.560	7b
54.560	61.980	7c
61.980	65.280	8a
65.280	69.660	8b
69.660	71.520	9a
71.520	74.640	9b
74.640	79.580	9c
79.580	84.060	10a
84.060	89.660	10b
89.660	90.760	11a
90.760	94.580	11b
94.580	99.500	11c
99.500	101.280	12a
101.280	105.620	12b
105.620	107.980	12c
107.980	111.120	13a
111.120	113.840	13b
113.840	115.320	14a
115.320	118.400	14b
118.400	120.660	14c
120.660	127.060	14d
127.060	131.460	15a
131.460	134.520	15b
134.520	136.280	16a
136.280	140.800	16b
140.800	143.940	17a
143.940	146.420	17b
146.420	150.500	17c
150.500	152.240	18a
152.240	155.080	18b
155.080	158.220	18c
158.220	159.540	18d
159.540	162.280	18e
162.280	168.440	19
168.440	172.060	20a
172.060	175.920	20b
175.920	181.680	20c
181.680	184.260	21a
184.260	187.760	21b
187.760	191.120	22a
191.120	192.280	22b
192.280	193.920	22c
193.920	195.560	22d
195.560	197.800	23a
197.800	201.420	23b
201.420	204.000	23c
204.000	207.720	24
207.720	211.020	25a
211.020	213.460	25b
213.460	216.700	25c
216.700	223.500	26
223.500	228.200	27a
228.200	230.140	27b
230.140	232.500	27c
232.500	234.280	27d
234.280	240.020	27e
240.020	243.080	28a
243.080	246.040	28b
246.040	249.540	28c
249.540	251.740	28d
251.740	256.340	29a
256.340	259.860	29b
259.860	262.880	30a
262.880	264.080	30b
264.080	266.080	30c
266.080	271.040	30d
