0.000	4.680	1a
4.680	7.420	1b
7.420	9.440	2a
9.440	10.080	2b
10.080	11.440	2c
11.440	12.320	2d
12.320	15.900	2e
15.900	20.180	3a
20.180	22.780	3b
22.780	24.820	3c
24.820	26.560	4a
26.560	30.420	4b
30.420	32.000	5a
32.000	33.300	5b
33.300	35.100	5c
35.100	38.280	5d
38.280	42.260	5e
42.260	45.760	6
45.760	49.440	7a
49.440	52.300	7b
52.300	55.260	8a
55.260	58.040	8b
58.040	60.800	8c
60.800	64.120	9a
64.120	65.760	9b
65.760	68.240	9c
68.240	70.140	10a
70.140	74.260	10b
74.260	80.120	10c
80.120	85.260	11
85.260	88.180	12a
88.180	91.360	12b
91.360	92.820	12c
92.820	99.120	12d
99.120	106.380	13
106.380	109.400	14a
109.400	112.380	14b
112.380	114.240	14c
114.240	119.160	14d
119.160	121.480	15a
121.480	123.540	15b
123.540	126.960	15c
126.960	130.840	15d
