0.000	8.000	1a
8.000	9.460	1b
9.460	13.080	1c
13.080	17.280	2a
17.280	21.040	2b
21.040	24.060	2c
24.060	26.680	3a
26.680	30.400	3b
30.400	31.600	3c
31.600	32.660	3d
32.660	35.280	3e
35.280	38.800	3f
38.800	41.320	3g
41.320	42.720	3h
42.720	44.440	3i
44.440	47.320	3j
47.320	52.440	4a
52.440	58.720	4b
58.720	61.660	5a
61.660	66.640	5b
66.640	71.060	6a
71.060	77.780	6b
77.780	82.940	7a
82.940	85.820	7b
85.820	88.580	7c
88.580	94.800	7d
94.800	100.940	8a
100.940	102.300	8b
102.300	105.660	8c
105.660	107.100	9a
107.100	113.780	9b
113.780	117.280	10a
117.280	118.320	10b
118.320	123.680	10c
123.680	127.180	11a
127.180	128.260	11b
128.260	134.140	11c
134.140	137.540	12a
137.540	140.400	12b
140.400	142.380	12c
142.380	143.580	12d
143.580	146.220	12e
146.220	147.940	12f
147.940	150.520	12g
150.520	154.060	13a
154.060	157.340	13b
157.340	158.780	13c
158.780	161.260	13d
161.260	163.840	14a
163.840	166.640	14b
166.640	171.100	14c
171.100	174.440	15a
174.440	176.300	15b
176.300	180.880	15c
180.880	183.220	15d
183.220	187.240	16a
187.240	189.000	16b
189.000	191.780	16c
191.780	196.040	16d
