0.000	2.520	1a
2.520	5.480	1b
5.480	10.100	1c
10.100	12.260	2a
12.260	14.920	2b
14.920	18.400	3a
18.400	22.320	3b
22.320	25.980	3c
25.980	29.820	3d
29.820	34.900	4a
34.900	38.180	4b
38.180	40.380	4c
40.380	42.660	4d
42.660	45.280	5a
45.280	46.600	5b
46.600	51.680	5c
51.680	55.260	6a
55.260	57.900	6b
57.900	61.140	7a
61.140	63.800	7b
63.800	65.360	7c
65.360	71.680	7d
71.680	75.120	8a
75.120	77.740	8b
77.740	79.680	9a
79.680	82.660	9b
82.660	85.980	9c
85.980	90.420	9d
90.420	92.820	10a
92.820	97.040	10b
97.040	101.160	10c
101.160	104.960	11a
104.960	107.660	11b
107.660	112.140	11c
112.140	118.080	11d
118.080	120.400	12a
120.400	122.100	12b
122.100	125.120	12c
125.120	127.900	12d
127.900	130.900	12e
130.900	135.340	12f
135.340	137.840	13a
137.840	139.240	13b
139.240	140.640	13c
140.640	142.540	13d
142.540	145.080	14a
145.080	147.680	14b
147.680	149.900	14c
149.900	155.080	14d
155.080	160.840	15a
160.840	163.340	15b
163.340	165.640	15c
165.640	172.420	16a
172.420	174.040	16b
174.040	178.380	16c
178.380	181.760	17a
181.760	185.440	17b
185.440	189.660	17c
189.660	192.360	18a
192.360	193.860	18b
193.860	196.080	18c
196.080	198.600	19a
198.600	205.080	19b
205.080	208.840	20a
208.840	221.280	20b
