0.000	8.940	1a
8.940	11.280	1b
11.280	13.860	1c
13.860	17.020	2a
17.020	19.820	2b
19.820	21.320	3a
21.320	23.600	3b
23.600	26.340	3c
26.340	31.640	4a
31.640	35.900	4b
35.900	42.140	5
42.140	47.000	6a
47.000	49.480	6b
49.480	52.440	6c
52.440	54.960	6d
54.960	57.420	6e
57.420	58.300	7-8a
58.300	59.800	7-8b
59.800	61.900	7-8c
61.900	64.620	7-8d
64.620	67.500	9a
67.500	70.600	9b
70.600	71.620	9c
71.620	75.660	9d
75.660	81.500	10a
81.500	83.660	10b
83.660	85.560	10c
85.560	90.380	10d
90.380	92.940	11a
92.940	95.760	11b
95.760	99.560	11c
99.560	105.020	12a
105.020	111.120	12b
111.120	112.640	13a
112.640	116.000	13b
116.000	119.640	13c
119.640	123.180	14a
123.180	127.420	14b
127.420	129.840	15a
129.840	133.320	15b
133.320	138.240	16a
138.240	140.460	16b
140.460	143.380	16c
143.380	147.620	16d
147.620	149.920	16e
149.920	153.580	16f
153.580	155.920	17a
155.920	158.840	17b
158.840	163.780	18a
163.780	167.300	18b
167.300	170.100	18c
170.100	171.200	19a
171.200	173.080	19b
173.080	176.760	19c
176.760	178.220	20a
178.220	184.540	20b
184.540	188.820	20c
188.820	192.420	20d
192.420	193.800	21a
193.800	201.560	21b
