0.000	4.960	1a
4.960	9.400	1b
9.400	11.300	2a
11.300	13.580	2b
13.580	15.820	2c
15.820	17.780	3a
17.780	22.420	3b
22.420	25.800	3c
25.800	28.560	3d
28.560	30.680	4a
30.680	32.260	4b
32.260	37.600	4c
37.600	40.000	5a
40.000	41.700	5b
41.700	44.960	5c
44.960	49.040	6a
49.040	50.000	6b
50.000	51.680	6c
51.680	53.960	7a
53.960	56.440	7b
56.440	60.120	8a
60.120	62.860	8b
62.860	64.400	8c
64.400	67.000	8d
67.000	70.440	9a
70.440	74.780	9b
74.780	76.780	10a
76.780	80.540	10b
80.540	83.440	10c
83.440	85.720	11a
85.720	87.420	11b
87.420	90.060	11c
90.060	91.660	12a
91.660	93.140	12b
93.140	98.260	12c
98.260	102.840	13a
102.840	105.400	13b
105.400	108.320	14a
108.320	109.800	14b
109.800	110.320	14c
110.320	112.700	14d
112.700	114.340	14e
114.340	116.520	14f
116.520	117.640	15a
117.640	120.200	15b
120.200	124.780	15c
124.780	127.000	16
127.000	128.920	17
128.920	130.860	18a
130.860	131.660	18b
131.660	135.080	18c
135.080	137.780	19
137.780	140.900	20
140.900	142.780	21a
142.780	144.860	21b
144.860	147.200	22
147.200	149.460	23a
149.460	152.400	23b
152.400	153.280	23c
153.280	160.480	23d
160.480	163.880	24a
163.880	165.960	24b
165.960	167.600	25a
167.600	169.360	25b
169.360	171.620	26a
171.620	175.540	26b
175.540	177.880	27a
177.880	181.180	27b
181.180	190.000	28
