0.000	8.240	1
8.240	11.540	2a
11.540	13.980	2b
13.980	17.200	3a
17.200	19.660	3b
19.660	22.540	3c
22.540	25.300	3d
25.300	28.740	3e
28.740	31.760	4a
31.760	35.240	4b
35.240	37.860	5a
37.860	41.440	5b
41.440	42.740	5c
42.740	44.200	5d
44.200	45.640	5e
45.640	47.100	5f
47.100	51.460	6
51.460	54.180	7a
54.180	56.900	7b
56.900	58.440	7c
58.440	59.900	7d
59.900	64.100	7e
64.100	66.620	8a
66.620	70.800	8b
70.800	73.640	8c
73.640	76.500	9a
76.500	79.340	9b
79.340	82.040	10a
82.040	85.820	10b
85.820	90.320	10c
90.320	92.600	11a
92.600	95.440	11b
95.440	99.100	11c
99.100	101.760	12a
101.760	103.360	12b
103.360	104.700	12c
104.700	107.020	12d
107.020	110.660	12e
110.660	114.680	12f
114.680	117.960	13a
117.960	119.360	13b
119.360	121.680	13c
121.680	123.100	13d
123.100	124.220	13e
124.220	131.600	13f
