0.000	7.800	1a
7.800	9.080	1b
9.080	11.040	1c
11.040	12.180	2a
12.180	15.800	2b
15.800	17.420	2c
17.420	20.400	2d
20.400	21.520	2e
21.520	22.720	3a
22.720	25.680	3b
25.680	27.320	3c
27.320	32.720	3d
32.720	34.600	4a
34.600	39.200	4b
39.200	43.180	4c
43.180	46.340	4d
46.340	50.440	5
50.440	55.180	6a
55.180	57.480	6b
57.480	59.820	6c
59.820	62.260	7
62.260	64.140	8a
64.140	66.680	8b
66.680	68.460	8c
68.460	72.380	8d
72.380	74.560	9a
74.560	76.120	9b
76.120	79.380	9c
79.380	82.260	9d
82.260	84.220	9e
84.220	87.660	9f
87.660	89.700	10a
89.700	92.140	10b
92.140	96.360	10c
96.360	101.220	11
101.220	105.760	12a
105.760	107.460	12b
107.460	109.700	12c
109.700	113.880	13a
113.880	117.980	13b
117.980	122.380	13c
122.380	123.820	13d
123.820	127.940	14
127.940	130.880	15a
130.880	133.900	15b
133.900	135.900	15c
135.900	137.620	15d
137.620	139.840	15e
139.840	142.280	16a
142.280	144.140	16b
144.140	147.700	16c
147.700	152.260	17a
152.260	154.560	17b
154.560	157.680	17c
157.680	163.100	18
163.100	166.820	19a
166.820	168.500	19b
168.500	172.060	19c
172.060	175.560	20a
175.560	177.260	20b
177.260	183.600	21a
183.600	187.900	21b
187.900	189.820	22a
189.820	192.940	22b
192.940	196.360	22c
196.360	201.860	23
201.860	204.280	24a
204.280	207.300	24b
207.300	209.860	24c
209.860	213.560	25a
213.560	215.080	25b
215.080	216.340	25c
216.340	219.120	25d
219.120	223.520	26a
223.520	227.060	26b
227.060	228.400	26c
228.400	232.360	26d
232.360	236.180	27a
236.180	239.620	27b
239.620	245.640	27c
245.640	248.980	28a
248.980	252.280	28b
252.280	254.480	28c
254.480	257.180	29a
257.180	262.880	29b
262.880	267.720	29c
267.720	271.140	30a
271.140	273.640	30b
273.640	278.780	31a
278.780	281.540	31b
281.540	285.100	32a
285.100	287.040	32b
287.040	289.820	32c
289.820	292.420	33a
292.420	295.420	33b
295.420	300.540	33c
300.540	305.720	34a
305.720	309.140	34b
309.140	310.720	34c
310.720	315.540	35a
315.540	317.500	35b
317.500	325.880	35c
325.880	328.160	36a
328.160	329.780	36b
329.780	331.860	36c
331.860	336.300	37a
336.300	338.880	37b
338.880	345.320	38a
345.320	346.880	38b
346.880	348.440	38c
348.440	351.160	38d
351.160	354.360	39a
354.360	357.100	39b
357.100	363.000	40a
363.000	365.360	40b
365.360	367.420	40c
367.420	372.280	41
