0.000	8.440	1a
8.440	11.860	1b
11.860	15.660	2a
15.660	17.040	2b
17.040	18.640	2c
18.640	22.160	2d
22.160	23.980	3a
23.980	26.880	3b
26.880	30.700	3c
30.700	34.220	4a
34.220	36.600	4b
36.600	37.260	5a
37.260	40.400	5b
40.400	46.180	5c
46.180	48.820	6a
48.820	57.140	6b
57.140	59.820	7a
59.820	62.220	7b
62.220	66.520	8
66.520	70.180	9a
70.180	73.580	9b
73.580	79.660	9c
79.660	81.860	10a
81.860	84.400	10b
84.400	86.680	10c
86.680	87.740	10d
87.740	90.000	10e
90.000	93.160	10f
93.160	94.480	11a
94.480	96.200	11b
96.200	97.200	11c
97.200	102.800	11d
102.800	104.640	11e
104.640	109.020	11f
109.020	114.600	11g
114.600	118.760	12a
118.760	122.060	12b
122.060	128.360	12c
128.360	129.600	13a
129.600	134.680	13b
134.680	137.260	13c
137.260	139.820	13d
139.820	143.680	13e
143.680	147.460	14a
147.460	149.620	14b
149.620	153.840	14c
153.840	155.560	15a
155.560	159.240	15b
159.240	164.860	15c
164.860	168.940	16a
168.940	173.140	16b
173.140	179.200	16c
179.200	182.920	16d
182.920	186.720	16e
186.720	190.500	16f
190.500	192.620	17a
192.620	195.000	17b
195.000	200.960	17c
200.960	205.900	17d
205.900	208.220	17e
208.220	212.020	17f
212.020	217.900	18a
217.900	224.260	18b
224.260	226.580	18c
226.580	230.960	18d
230.960	233.860	19a
233.860	235.960	19b
235.960	238.340	19c
238.340	244.100	19d
244.100	248.100	20a
248.100	249.980	20b
249.980	252.620	20c
252.620	256.160	20d
256.160	260.860	21
260.860	264.840	22
264.840	268.720	23
268.720	270.520	24a
270.520	275.900	24b
275.900	278.880	24c
278.880	280.080	25a
280.080	289.320	25b
