0.000	5.580	1a
5.580	9.520	1b
9.520	12.160	1c
12.160	13.580	2a
13.580	17.800	2b
17.800	21.500	2c
21.500	24.320	3a
24.320	30.480	3b
30.480	32.900	4a
32.900	34.480	4b
34.480	37.200	5a
37.200	39.280	5b
39.280	43.140	5c
43.140	44.160	5d
44.160	47.840	5e
47.840	49.980	6a
49.980	52.740	6b
52.740	56.940	6c
56.940	58.720	7a
58.720	60.460	7b
60.460	62.680	7c
62.680	63.580	8a
63.580	68.380	8b
68.380	70.300	8c
70.300	75.700	8d
75.700	78.480	8e
78.480	79.800	9a
79.800	82.560	9b
82.560	87.380	9c
87.380	94.300	10a
94.300	96.740	10b
96.740	105.160	10c
105.160	109.460	11a
109.460	111.880	11b
111.880	117.020	11c
117.020	119.440	12a
119.440	120.360	12b
120.360	122.200	12c
122.200	127.700	12d
127.700	131.620	13a
131.620	139.080	13b
139.080	141.840	13c
141.840	146.280	13d
146.280	149.900	14a
149.900	153.480	14b
153.480	156.460	14c
156.460	160.040	14d
160.040	161.640	15a
161.640	164.100	15b
164.100	169.420	15c
169.420	171.280	15d
171.280	175.340	16a
175.340	176.000	16b
176.000	178.320	16c
178.320	180.180	16d
180.180	182.880	16e
182.880	185.140	16f
185.140	186.920	17a
186.920	187.640	17b
187.640	190.920	17c
190.920	194.380	17d
194.380	199.380	17e
199.380	201.880	17f
201.880	205.720	18a
205.720	206.900	18b
206.900	210.600	18c
210.600	215.500	18d
215.500	217.860	19a
217.860	219.080	19b
219.080	222.400	19c
222.400	223.420	19d
223.420	229.680	19e
229.680	232.520	19f
232.520	234.480	19g
234.480	237.340	19h
237.340	239.180	20a
239.180	242.220	20b
242.220	246.280	20c
246.280	250.060	21a
250.060	251.080	21b
251.080	255.320	21c
255.320	256.500	21d
256.500	260.260	21e
260.260	262.340	22a
262.340	265.780	22b
265.780	269.040	22c
269.040	271.400	22d
271.400	275.240	22e
275.240	278.860	23a
278.860	284.660	23b
284.660	290.280	24
290.280	296.020	25
296.020	301.660	26
301.660	304.220	27a
304.220	306.960	27b
306.960	308.920	28a
308.920	310.000	28b
310.000	312.160	28c
312.160	315.400	28d
315.400	319.180	29a
319.180	325.880	29b
