0.000	3.520	1a
3.520	8.380	1b
8.380	10.260	1c
10.260	13.460	1d
13.460	15.540	2a
15.540	16.580	2b
16.580	17.820	2c
17.820	20.580	2d
20.580	23.320	3a
23.320	24.060	3b
24.060	25.420	3c
25.420	28.080	3d
28.080	30.360	3e
30.360	32.580	3f
32.580	35.160	3g
35.160	40.920	4
40.920	41.920	5a
41.920	43.680	5b
43.680	45.680	5c
45.680	48.880	5d
48.880	52.960	5e
52.960	53.920	6a
53.920	59.720	6b
59.720	63.620	7a
63.620	68.140	7b
68.140	68.960	8a
68.960	71.060	8b
71.060	73.860	8c
73.860	76.540	8d
76.540	79.500	8e
79.500	83.020	8f
83.020	91.420	9a
91.420	94.460	9b
94.460	97.980	10a
97.980	101.000	10b
101.000	103.900	10c
103.900	109.280	11a
109.280	111.240	11b
111.240	114.280	12a
114.280	119.020	12b
119.020	120.440	12c
120.440	123.080	12d
123.080	128.540	13a
128.540	131.140	13b
131.140	134.780	14a
134.780	138.180	14b
138.180	141.700	14c
141.700	144.520	15a
144.520	146.840	15b
146.840	155.240	15c
