4.720	9.780	1a
9.780	17.460	1b
17.460	20.260	2a
20.260	27.660	2b
27.660	35.480	3
35.480	41.260	4-5a
41.260	46.800	4-5b
46.800	48.880	6a
48.880	50.660	6b
50.660	55.280	6c
55.280	56.400	7a
56.400	59.400	7b
59.400	63.380	7c
63.380	65.000	8a
65.000	66.640	8b
66.640	70.180	8c
70.180	74.160	9a
74.160	75.560	9b
75.560	81.500	9c
81.500	82.600	10a
82.600	87.240	10b
87.240	89.620	11a
89.620	90.840	11b
90.840	92.460	11c
92.460	94.560	12a
94.560	96.480	12b
96.480	99.060	12c
99.060	101.500	13a
101.500	107.060	13b
107.060	111.360	14a
111.360	114.060	14b
114.060	116.440	14c
116.440	119.580	15a
119.580	122.680	15b
122.680	124.860	16a
124.860	127.820	16b
127.820	130.180	16c
130.180	136.920	16d
136.920	142.840	17
142.840	144.820	18a
144.820	146.060	18b
146.060	147.780	18c
147.780	149.580	19a
149.580	153.780	19b
153.780	155.560	19c
155.560	159.220	19d
159.220	161.180	20a
161.180	163.700	20b
163.700	166.320	20c
166.320	168.820	21a
168.820	171.160	21b
171.160	172.800	21c
172.800	175.760	22a
175.760	181.200	22b
181.200	186.780	23-24a
186.780	188.000	23-24b
188.000	191.120	23-24c
191.120	200.440	25
